ID;SEXO;TIPO_COLEGIO;Puntaje Nem;Puntaje Ranking;Puntaje Lenguaje;PAES_M1;PAES_M2;Puntaje Historia;Puntaje Ciencias;Puntaje Prom;Puntaje Pond.;DIAG_MAT;AYG_240;AYG_24-2;C1_240;C1_24-2;AL_24-2;C2_24-2
237;M;2;736;754;567;731;464;0;456;649,00;681,15;0,50;4,48;0,00;5,16;0,00;5,40;5,11
238;F;2;851;877;679;628;292;0;413;653,50;691,80;0,26;4,48;0,00;5,30;0,00;5,85;5,41
239;M;1;828;835;770;811;573;0;598;790,50;782,60;0,48;4,50;0,00;5,39;0,00;5,20;4,00
240;M;3;727;733;476;669;393;0;498;572,50;643,80;0,40;4,50;0,00;4,96;0,00;4,99;5,60
241;M;3;694;698;850;700;422;595;539;775,00;689,40;0,33;4,50;0,00;4,85;0,00;4,40;4,40
242;M;2;722;722;641;607;450;0;515;624,00;639,35;0,24;4,51;0,00;3,97;0,00;4,06;3,50
243;M;2;722;722;641;607;450;0;515;624,00;639,35;0,24;4,51;0,00;3,97;0,00;4,06;3,50
244;M;2;636;636;589;731;444;0;490;660,00;640,35;0,57;4,51;0,00;5,19;0,00;5,24;5,20
245;M;2;636;636;589;731;444;0;490;660,00;640,35;0,57;4,51;0,00;5,19;0,00;5,24;5,20
246;M;1;900;911;563;680;450;0;462;621,50;726,30;0,48;4,53;0,00;5,12;0,00;5,38;4,80
247;F;4;900;905;801;642;444;0;519;721,50;740,40;0,45;4,54;0,00;4,42;0,00;4,60;4,30
248;M;2;842;903;679;688;271;540;524;683,50;731,35;0,12;4,55;0,00;4,99;0,00;4,70;2,70
249;F;3;870;901;473;669;366;0;495;571,00;706,55;0,43;4,56;0,00;4,48;0,00;4,00;4,10
250;M;1;799;809;834;926;547;0;647;880,00;822,15;0,62;4,57;0,00;4,40;0,00;4,00;2,20
251;M;2;713;764;551;554;413;391;0;552,50;609,25;0,12;4,58;0,00;5,34;0,00;4,90;5,01
252;M;2;799;869;801;811;496;0;656;806,00;794,95;0,36;4,60;0,00;5,47;0,00;5,12;5,00
253;M;2;694;703;663;607;413;480;468;635,00;627,70;0,05;4,60;0,00;4,43;0,00;4,10;4,00
254;M;2;694;703;663;607;413;480;468;635,00;627,70;0,05;4,60;0,00;4,43;0,00;4,10;4,00
255;M;3;595;667;801;909;661;0;657;855,00;756,60;0,57;4,61;0,00;5,03;0,00;3,30;1,90
256;F;2;951;969;641;731;487;0;520;686,00;782,10;0,24;4,62;0,00;5,91;0,00;5,15;4,20
257;M;1;636;636;742;717;452;0;580;729,50;660,15;0,57;4,64;0,00;4,98;0,00;5,90;5,00
258;M;1;636;636;742;717;452;0;580;729,50;660,15;0,57;4,64;0,00;4,98;0,00;5,90;5,00
259;F;2;757;768;816;773;560;0;589;794,50;745,15;0,38;4,67;0,00;5,04;0,00;5,04;4,20
260;M;2;828;886;633;785;466;0;524;709,00;762,35;0,26;4,67;0,00;5,33;0,00;4,97;5,10
261;M;2;851;871;597;705;381;549;506;651,00;726,80;0,14;4,67;0,00;6,07;0,00;4,10;3,55
262;F;3;928;1000;656;705;408;0;506;680,50;776,15;0,33;4,69;0,00;5,02;0,00;1,20;1,20
263;M;2;742;779;742;746;406;565;711;744,00;734,60;0,40;4,70;0,00;3,65;0,00;4,94;4,00
264;M;3;685;695;774;785;487;0;560;779,50;709,50;0,40;4,70;0,00;4,99;0,00;6,52;6,00
265;M;2;765;789;524;773;419;0;550;648,50;712,10;0,36;4,71;0,00;4,97;0,00;4,98;4,40
266;M;3;694;694;600;746;522;0;560;673,00;680,80;0,50;4,72;0,00;6,39;0,00;5,60;6,10
267;F;2;742;749;611;731;366;460;433;671,00;680,15;0,36;4,73;0,00;2,56;0,00;2,30;1,90
268;M;3;685;684;833;917;476;0;671;875,00;768,85;0,64;4,74;0,00;5,02;0,00;0,00;0,00
269;M;3;865;874;770;692;385;0;501;731,00;737,25;0,29;4,74;0,00;4,04;0,00;5,25;5,20
270;M;2;856;938;775;743;385;0;586;759,00;782,40;0,38;4,75;0,00;6,09;0,00;5,10;4,80
271;F;3;751;757;788;616;366;0;557;702,00;670,60;0,26;4,76;0,00;5,59;0,00;4,20;3,40
272;M;2;757;785;506;669;348;0;403;587,50;653,65;0,17;4,76;0,00;2,95;0,00;5,67;5,00
273;M;2;757;785;506;669;348;0;403;587,50;653,65;0,17;4,76;0,00;2,95;0,00;5,67;5,00
274;M;3;757;780;563;705;328;0;515;634,00;680,65;0,33;4,77;0,00;5,54;0,00;4,20;4,40
275;F;2;771;798;663;785;413;0;582;724,00;736,40;0,52;4,78;0,00;5,12;0,00;5,29;4,20
276;M;2;765;883;591;535;292;468;500;563,00;652,35;0,12;4,79;0,00;5,99;0,00;4,10;4,10
277;F;3;757;757;738;628;419;0;516;683,00;668,95;0,52;4,82;0,00;3,61;0,00;4,97;2,80
278;M;2;622;625;669;688;309;460;524;678,50;625,25;0,38;4,82;0,00;5,73;0,00;4,40;4,20
279;M;2;622;625;669;688;309;460;524;678,50;625,25;0,38;4,82;0,00;5,73;0,00;4,40;4,20
280;M;2;942;978;689;696;381;534;567;692,50;775,85;0,26;4,83;0,00;5,38;0,00;5,11;5,46
281;F;2;785;833;689;785;444;0;580;737,00;752,25;0,55;4,83;0,00;5,32;0,00;5,55;4,98
282;M;2;793;813;707;773;476;502;503;740,00;738,55;0,33;4,85;0,00;4,83;0,00;5,50;4,80
283;F;1;765;785;687;844;434;0;506;765,50;748,40;0,55;4,86;0,00;2,82;4,90;4,90;0,00
284;M;2;814;830;770;897;563;0;635;833,50;813,00;0,48;4,86;0,00;5,75;0,00;5,34;4,30
285;M;1;664;666;620;897;571;520;0;758,50;722,70;0,48;4,87;0,00;2,89;0,00;5,05;4,00
286;F;2;937;997;665;599;381;492;484;632,00;737,20;0,33;4,88;0,00;5,72;0,00;5,10;4,00
287;F;2;727;734;656;761;422;0;496;708,50;695,55;0,38;4,90;0,00;5,29;0,00;5,21;4,90
288;F;3;828;833;721;827;464;495;582;774,00;775,65;0,45;4,92;0,00;3,97;0,00;5,20;4,20
289;M;1;757;757;633;628;437;492;503;630,50;658,05;0,26;4,93;0,00;4,68;0,00;5,00;4,70
290;F;2;815;842;678;700;449;0;570;689,00;726,35;0,40;4,94;0,00;5,19;0,00;4,96;4,40
291;M;2;814;845;679;731;450;0;508;705,00;731,95;0,26;4,94;0,00;4,90;0,00;4,20;3,10
292;M;3;799;799;721;746;346;0;495;733,50;719,60;0,36;4,95;0,00;3,85;0,00;5,04;4,60
293;M;2;771;787;676;680;395;602;357;678,00;698,75;0,19;4,96;0,00;5,35;0,00;4,20;4,00
294;M;2;771;787;676;680;395;602;357;678,00;698,75;0,19;4,96;0,00;5,35;0,00;4,20;4,00
295;M;2;736;786;788;778;475;0;630;783,00;747,25;0,57;4,96;0,00;3,62;0,00;5,18;4,26
296;F;2;823;918;665;607;346;0;498;636,00;703,75;0,10;4,97;0,00;5,28;0,00;5,00;5,08
297;M;2;708;708;591;761;393;0;428;676,00;671,10;0,24;4,97;0,00;5,22;0,00;5,02;4,50
298;M;3;736;769;656;797;472;0;538;726,50;726,25;0,50;4,97;0,00;4,72;0,00;5,56;5,00
299;F;1;680;680;620;679;452;0;435;649,50;637,75;0,31;4,97;0,00;4,19;0,00;5,45;3,20
300;M;2;628;634;623;827;561;493;576;725,00;690,40;0,52;4,97;0,00;6,03;0,00;5,99;4,50
301;M;1;742;753;669;761;363;0;496;715,00;701,10;0,40;4,98;0,00;4,27;0,00;4,80;3,60
302;F;3;801;841;651;688;309;480;438;669,50;701,75;0,17;4,98;0,00;4,63;0,00;4,96;4,00
303;M;2;793;832;563;505;369;0;442;534,00;624,60;0,07;4,98;0,00;4,34;0,00;5,10;5,55
304;M;2;793;832;563;505;369;0;442;534,00;624,60;0,07;4,98;0,00;4,34;0,00;5,10;5,55
305;M;2;608;608;667;657;408;0;490;662,00;609,25;0,31;4,98;0,00;5,33;0,00;6,31;6,30
306;M;2;608;608;667;657;408;0;490;662,00;609,25;0,31;4,98;0,00;5,33;0,00;6,31;6,30
307;M;2;814;859;689;642;406;632;536;665,50;716,20;0,19;4,98;0,00;5,41;0,00;5,05;5,10
308;M;2;488;488;667;657;393;0;489;662,00;560,40;0,14;4,98;0,00;5,37;0,00;4,00;4,30
309;F;2;599;599;496;680;309;430;425;588,00;585,65;0,17;4,98;0,00;5,50;0,00;4,30;3,50
310;M;2;856;868;620;746;450;0;515;683,00;743,10;0,33;4,98;0,00;5,70;0,00;5,06;4,20
311;M;2;779;835;607;669;309;0;443;638,00;683,00;0,17;4,99;0,00;4,24;0,00;5,67;4,80
312;M;2;613;675;686;731;478;0;584;708,50;670,55;0,40;5,01;0,00;3,54;4,40;1,44;0,00
313;F;3;785;811;761;717;246;605;541;739,00;721,65;0,26;5,01;0,00;4,18;0,00;5,20;3,50
314;M;2;1000;1000;729;688;434;0;548;708,50;790,20;0,43;5,01;0,00;3,79;5,30;2,70;0,00
315;F;3;837;849;738;585;366;496;500;661,50;685,25;0,29;5,01;0,00;5,69;0,00;5,16;5,43
316;M;2;779;831;596;607;408;303;501;601,50;669,75;0,21;5,02;0,00;5,31;0,00;4,80;5,05
317;M;3;771;783;576;688;522;0;503;632,00;686,80;0,64;5,02;0,00;5,14;0,00;5,29;5,46
318;M;3;551;551;651;628;381;344;0;639,50;558,75;0,05;5,03;0,00;4,50;0,00;4,20;4,00
319;F;2;880;948;600;717;408;468;476;658,50;751,35;0,26;5,03;0,00;4,52;0,00;4,60;3,60
320;F;2;951;1000;582;600;393;0;494;591,00;732,35;0,19;5,03;0,00;5,62;0,00;4,12;5,11
321;M;3;713;713;742;731;496;613;456;736,50;701,35;0,43;5,04;0,00;3,32;0,00;4,45;3,50
322;M;3;713;713;742;731;496;613;456;736,50;701,35;0,43;5,04;0,00;3,32;0,00;4,45;3,50
323;M;2;599;599;759;696;363;0;503;727,50;627,55;0,17;5,04;0,00;4,27;0,00;3,82;4,20
324;M;2;599;599;759;696;363;0;503;727,50;627,55;0,17;5,04;0,00;4,27;0,00;3,82;4,20
325;M;2;870;883;611;657;408;0;468;634,00;710,15;0,31;5,05;0,00;3,79;4,20;4,30;0,00
326;M;2;785;929;729;645;472;0;611;687,00;740,55;0,29;5,06;0,00;5,40;0,00;5,63;5,64
327;F;3;713;713;625;593;292;0;418;609,00;611,65;0,26;5,06;0,00;4,49;0,00;2,30;1,40
328;M;2;685;687;496;844;498;0;498;670,00;694,30;0,38;5,07;0,00;5,81;0,00;4,96;4,96
329;M;3;771;782;597;563;406;402;0;580,00;628,95;0,29;5,07;0,00;5,07;0,00;4,90;4,70
330;M;3;771;782;597;563;406;402;0;580,00;628,95;0,29;5,07;0,00;5,07;0,00;4,90;4,70
331;M;2;519;519;665;797;408;624;598;731,00;635,85;0,38;5,08;0,00;5,08;0,00;4,70;4,90
332;M;2;519;519;665;797;408;624;598;731,00;635,85;0,38;5,08;0,00;5,08;0,00;4,70;4,90
333;M;2;587;601;686;585;312;445;0;635,50;572,45;0,07;5,08;0,00;5,76;0,00;5,04;4,98
334;M;2;828;862;714;790;488;0;592;752,00;772,90;0,33;5,09;0,00;5,40;0,00;4,90;5,26
335;M;2;757;760;754;731;478;0;506;742,50;709,45;0,48;5,09;0,00;6,32;0,00;5,39;5,38
336;M;3;765;776;707;844;507;520;570;775,50;757,75;0,45;5,10;0,00;5,90;0,00;5,49;4,99
337;M;3;922;997;609;593;379;534;535;601,00;732,20;0,24;5,11;0,00;4,81;0,00;3,97;3,40
338;F;2;727;755;600;773;483;0;520;686,50;705,90;0,43;5,11;0,00;4,52;0,00;4,10;3,60
339;M;2;567;567;563;731;452;0;436;647,00;605,15;0,36;5,11;0,00;3,78;0,00;5,20;5,13
340;M;2;793;807;708;738;434;0;585;723,00;730,70;0,40;5,12;0,00;4,98;0,00;4,00;2,30
341;M;1;771;771;729;917;563;0;583;823,00;788,70;0,62;5,12;0,00;6,19;0,00;4,40;4,00
342;M;3;757;757;761;695;472;0;563;728,00;702,05;0,19;5,13;0,00;5,81;0,00;5,33;5,09
343;F;2;842;895;689;731;395;0;548;710,00;752,00;0,24;5,13;0,00;5,97;0,00;5,00;4,00
344;M;2;727;801;745;717;486;0;491;731,00;711,85;0,48;5,13;0,00;5,90;0,00;5,92;4,50
345;F;2;736;765;738;862;422;595;594;800,00;759,20;0,45;5,16;0,00;5,32;0,00;4,65;4,70
346;M;2;727;744;726;717;488;0;611;721,50;704,95;0,40;5,16;0,00;5,52;0,00;5,20;4,70
347;M;2;727;744;726;717;488;0;611;721,50;704,95;0,40;5,16;0,00;5,52;0,00;5,20;4,70
348;F;1;694;694;665;797;450;520;536;731,00;699,15;0,71;5,17;0,00;5,67;0,00;0,00;0,00
349;M;2;613;671;833;897;452;682;584;865,00;750,65;0,60;5,18;0,00;5,51;0,00;2,70;2,50
350;M;1;622;622;656;688;419;0;490;672,00;625,15;0,31;5,18;0,00;5,08;0,00;5,24;5,37
351;M;1;622;622;656;688;419;0;490;672,00;625,15;0,31;5,18;0,00;5,08;0,00;5,24;5,37
352;F;2;751;766;686;688;437;0;511;687,00;687,25;0,36;5,19;0,00;6,21;0,00;5,28;5,70
353;M;2;713;717;701;827;472;0;519;764,00;721,45;0,43;5,21;0,00;5,90;0,00;3,70;4,00
354;F;2;956;990;625;554;459;0;482;589,50;720,15;0,36;5,21;0,00;3,94;0,00;5,00;5,79
355;M;2;699;699;699;939;571;570;643;819,00;771,00;0,69;5,21;0,00;4,11;0,00;5,39;5,19
356;F;2;856;898;674;688;496;0;517;681,00;739,70;0,62;5,24;0,00;5,73;0,00;4,40;2,09
357;M;1;680;680;775;593;422;0;505;684,00;628,65;0,17;5,27;0,00;5,26;0,00;4,20;5,00
358;M;2;622;622;582;785;434;438;0;683,50;647,25;0,50;5,27;0,00;5,50;0,00;3,40;5,06
359;F;3;785;787;625;657;466;0;606;641,00;690,95;0,45;5,27;0,00;5,51;0,00;5,69;5,15
360;M;3;900;949;611;669;478;0;447;640,00;738,55;0,19;5,27;0,00;5,74;0,00;4,80;4,40
361;M;2;893;966;611;696;466;416;480;653,50;755,10;0,24;5,27;0,00;5,04;0,00;4,99;4,95
362;M;1;708;708;683;785;444;480;601;734,00;708,55;0,60;5,28;0,00;5,41;0,00;4,97;4,40
363;M;1;708;708;683;785;444;480;601;734,00;708,55;0,60;5,28;0,00;5,41;0,00;4,97;4,40
364;M;2;879;914;620;705;487;0;575;662,50;752,70;0,45;5,28;0,00;5,42;0,00;5,20;5,05
365;M;2;816;912;802;717;346;0;473;759,50;750,95;0,10;5,28;0,00;5,49;0,00;5,50;4,50
366;M;2;727;741;620;746;478;0;462;683,00;688,20;0,36;5,29;0,00;5,75;0,00;5,18;4,10
367;M;2;765;791;651;688;290;393;506;669,50;684,80;0,40;5,29;0,00;4,97;0,00;5,29;5,04
368;M;2;771;830;742;761;450;605;480;751,50;749,65;0,38;5,29;0,00;5,83;0,00;5,50;5,10
369;M;4;731;797;802;785;395;0;642;793,50;751,10;0,31;5,30;0,00;4,70;0,00;3,69;4,40
370;M;2;551;551;651;785;504;0;585;718,00;643,95;0,48;5,30;0,00;3,12;0,00;5,00;5,01
371;M;2;785;813;669;696;363;582;0;682,50;709,25;0,45;5,31;0,00;5,28;0,00;4,99;5,73
372;M;1;793;800;834;861;561;608;601;847,50;792,90;0,69;5,31;0,00;5,48;0,00;4,90;4,30
373;F;2;801;846;589;696;422;632;505;642,50;720,70;0,29;5,31;0,00;5,60;0,00;5,46;5,17
374;M;1;742;793;788;659;444;0;671;723,50;710,85;0,52;5,32;0,00;5,04;0,00;4,30;4,10
375;M;2;636;636;589;705;464;0;411;647,00;624,35;0,40;5,33;0,00;5,58;0,00;5,40;5,53
376;M;2;928;983;600;669;346;0;497;634,50;748,85;0,21;5,33;0,00;4,98;0,00;5,70;5,58
377;F;2;814;831;665;688;483;410;436;676,50;705,75;0,26;5,36;0,00;5,28;0,00;5,01;4,30
378;M;3;823;845;686;746;450;0;515;716,00;739,50;0,31;5,37;0,00;4,33;0,00;4,80;2,80
379;F;3;907;922;754;773;379;0;576;763,50;789,80;0,45;5,38;0,00;4,02;0,00;5,02;5,10
380;M;2;842;876;584;811;581;474;584;697,50;776,70;0,38;5,38;0,00;6,42;0,00;5,66;6,14
381;M;3;837;914;799;731;381;0;560;765,00;768,70;0,26;5,39;0,00;5,22;0,00;5,34;4,69
382;M;3;829;910;584;642;406;556;544;613,00;714,90;0,17;5,39;0,00;4,59;0,00;4,30;3,10
383;M;2;513;513;722;785;520;0;659;753,50;644,05;0,52;5,39;0,00;6,40;0,00;5,12;5,10
384;M;2;587;610;654;657;419;0;535;655,50;611,50;0,24;5,40;0,00;4,98;0,00;5,07;5,25
385;M;2;587;610;654;657;419;0;535;655,50;611,50;0,24;5,40;0,00;4,98;0,00;5,07;5,25
386;F;2;694;698;774;879;582;514;592;826,50;752,15;0,52;5,40;0,00;5,57;0,00;4,90;4,60
387;M;3;808;840;707;897;466;0;536;802,00;794,35;0,36;5,40;0,00;4,78;0,00;5,45;4,60
388;M;2;828;861;738;797;488;495;577;767,50;775,95;0,55;5,40;0,00;6,41;0,00;5,27;5,75
389;F;2;685;712;524;607;536;0;469;565,50;620,65;0,33;5,41;0,00;4,84;0,00;4,96;5,10
390;M;2;742;746;770;773;581;0;632;771,50;737,80;0,62;5,41;0,00;6,09;0,00;5,38;5,50
391;M;2;808;819;651;679;408;0;415;665,00;691,15;0,43;5,41;0,00;6,39;0,00;3,60;5,66
392;M;2;694;714;686;879;522;0;524;782,50;738,35;0,67;5,42;0,00;6,12;0,00;5,40;5,86
393;M;1;856;862;573;773;478;0;500;673,00;745,95;0,45;5,42;0,00;6,20;0,00;5,79;5,36
394;M;1;650;650;707;785;452;619;0;746,00;689,95;0,50;5,43;0,00;4,24;0,00;4,50;2,90
395;M;3;942;1000;837;827;476;643;0;832,00;855,45;0,52;5,47;0,00;5,18;0,00;5,07;4,96
396;F;2;851;878;815;679;346;605;544;747,00;745,45;0,26;5,47;0,00;5,25;0,00;5,61;5,38
397;F;2;851;900;669;761;395;0;548;715,00;762,90;0,40;5,47;0,00;5,38;0,00;5,30;5,20
398;F;3;937;950;738;688;363;510;443;713,00;762,45;0,10;5,47;0,00;5,83;0,00;5,39;5,19
399;M;2;886;941;802;827;498;0;643;814,50;829,75;0,71;5,47;0,00;6,22;0,00;4,80;6,27
400;M;2;865;1000;596;679;498;654;575;637,50;774,05;0,43;5,47;0,00;4,14;0,00;5,12;5,23
401;M;2;842;866;775;834;506;0;578;804,50;796,50;0,69;5,47;0,00;5,61;0,00;5,30;4,40
402;M;2;865;907;701;802;475;0;580;751,50;791,15;0,40;5,47;0,00;5,80;0,00;5,60;6,41
403;M;3;837;842;656;717;476;0;560;686,50;732,65;0,43;5,48;0,00;5,43;0,00;4,96;5,25
404;F;2;871;983;697;773;463;506;578;735,00;803,20;0,45;5,48;0,00;5,97;0,00;6,83;6,16
405;M;2;742;759;801;886;506;0;511;843,50;768,50;0,38;5,49;0,00;5,50;0,00;0,00;4,68
406;F;2;851;859;784;811;437;0;550;797,50;781,90;0,40;5,49;0,00;5,62;0,00;5,66;4,80
407;M;2;694;699;636;642;346;703;443;639,00;655,00;0,17;5,50;0,00;3,48;0,00;5,43;4,90
408;M;2;700;726;784;844;581;577;585;814,00;749,15;0,62;5,51;0,00;5,39;0,00;4,40;4,30
409;M;2;643;643;574;717;395;400;494;645,50;634,70;0,50;5,51;0,00;5,91;0,00;5,10;4,20
410;M;2;907;972;611;731;496;582;0;671,00;782,25;0,57;5,51;0,00;5,60;0,00;5,34;4,60
411;M;3;751;765;816;797;537;643;586;806,50;756,30;0,43;5,51;0,00;5,09;0,00;5,31;5,28
412;M;2;895;996;591;797;419;460;484;694,00;795,70;0,45;5,51;0,00;5,03;0,00;5,02;5,00
413;M;2;757;797;721;761;395;514;577;741,00;730,70;0,45;5,51;0,00;4,53;0,00;5,78;5,27
414;M;3;837;841;738;746;498;0;652;742,00;761,00;0,31;5,52;0,00;5,57;0,00;4,60;5,60
415;M;3;808;813;857;717;419;0;606;787,00;742,90;0,17;5,52;0,00;4,24;0,00;5,77;5,92
416;M;3;771;771;554;773;507;0;503;663,50;710,00;0,50;5,52;0,00;5,64;0,00;5,28;4,95
417;M;2;972;1000;489;696;408;0;550;592,50;765,10;0,36;5,53;0,00;5,97;0,00;5,36;4,95
418;F;2;879;893;641;773;422;582;0;707,00;769,75;0,50;5,53;0,00;3,48;0,00;4,50;4,30
419;M;1;793;793;676;897;678;0;592;786,50;791,85;0,67;5,53;0,00;5,43;0,00;5,60;5,70
420;M;2;736;778;596;731;437;0;598;663,50;704,10;0,43;5,54;0,00;4,02;0,00;5,29;5,85
421;M;2;709;756;596;657;399;454;548;626,50;662,00;0,26;5,54;0,00;5,00;0,00;6,15;5,64
422;M;2;709;756;596;657;399;454;548;626,50;662,00;0,26;5,54;0,00;5,00;0,00;6,15;5,64
423;M;2;780;804;476;797;393;373;440;636,50;709,40;0,26;5,57;0,00;5,59;0,00;5,35;3,50
424;M;2;657;658;754;963;582;0;598;858,50;764,45;0,74;5,57;0,00;5,86;0,00;5,43;4,98
425;M;1;914;949;699;607;363;0;584;653,00;735,00;0,31;5,57;0,00;5,00;0,00;5,43;5,11
426;M;2;851;859;788;811;422;0;550;799,50;781,55;0,45;5,58;0,00;3,72;0,00;4,70;5,02
427;F;2;900;943;597;679;366;445;483;638,00;736,85;0,29;5,58;0,00;5,07;0,00;3,70;4,10
428;M;2;922;1000;707;705;419;0;581;706,00;788,70;0,45;5,58;0,00;5,62;0,00;5,21;6,18
429;M;2;880;988;679;642;395;0;527;660,50;749,45;0,31;5,60;0,00;4,04;0,00;5,15;5,15
430;M;2;650;679;574;827;488;0;541;700,50;694,05;0,38;5,60;0,00;5,62;0,00;5,07;5,20
431;M;3;837;877;711;797;366;0;498;754,00;764,95;0,52;5,60;0,00;5,83;0,00;6,31;5,32
432;M;1;808;813;872;797;483;0;546;834,50;769,60;0,31;5,61;0,00;5,78;0,00;5,77;5,11
433;M;2;722;731;582;897;507;0;620;739,50;751,00;0,50;5,61;0,00;4,21;0,00;1,30;2,50
434;M;2;799;803;679;827;463;0;584;753,00;759,70;0,64;5,61;0,00;5,08;0,00;5,17;4,92
435;M;2;751;780;854;797;422;693;560;825,50;763,85;0,40;5,62;0,00;6,35;0,00;2,90;4,20
436;M;2;708;708;721;797;476;0;484;759,00;706,45;0,55;5,62;0,00;5,97;0,00;5,10;6,20
437;M;3;865;892;679;761;363;396;494;720,00;755,90;0,31;5,62;0,00;5,79;0,00;0,00;0,00
438;M;2;685;685;726;827;450;577;589;776,50;717,45;0,48;5,63;0,00;6,08;0,00;5,11;5,31
439;M;3;628;627;576;811;508;0;524;693,50;670,15;0,67;5,63;0,00;6,40;0,00;5,43;4,90
440;M;1;937;937;935;879;581;0;714;907,00;876,40;0,60;5,63;0,00;6,47;0,00;0,00;4,95
441;M;1;765;767;573;785;408;0;496;679,00;708,65;0,50;5,63;0,00;6,28;0,00;4,98;5,27
442;F;2;994;1000;784;862;487;0;704;823,00;874,25;0,50;5,64;0,00;4,07;0,00;5,32;5,01
443;F;2;837;874;689;811;476;0;666;750,00;789,05;0,55;5,66;0,00;5,50;0,00;4,50;5,63
444;M;2;870;889;692;785;452;587;560;738,50;778,95;0,55;5,66;0,00;4,97;0,00;5,40;4,60
445;M;2;709;836;697;588;569;489;504;642,50;676,05;0,24;5,67;0,00;5,57;0,00;5,28;5,46
446;M;3;671;672;633;696;437;0;502;664,50;647,65;0,45;5,68;0,00;5,33;0,00;4,50;4,98
447;M;3;671;672;633;696;437;0;502;664,50;647,65;0,45;5,68;0,00;5,33;0,00;4,50;4,98
448;M;2;736;736;775;844;496;0;585;809,50;750,60;0,64;5,68;0,00;5,49;0,00;6,02;4,97
449;M;2;736;767;853;861;509;673;673;857,00;783,10;0,57;5,68;0,00;4,39;0,00;6,06;5,81
450;M;1;685;685;729;844;504;496;572;786,50;724,70;0,74;5,68;0,00;5,31;0,00;5,06;4,97
451;M;2;680;689;656;680;366;595;509;668,00;656,10;0,40;5,70;0,00;6,23;0,00;4,70;5,15
452;F;1;551;551;506;642;406;0;490;574,00;565,00;0,48;5,70;0,00;5,51;0,00;5,45;5,00
453;M;2;771;828;656;680;379;505;502;668,00;698,55;0,19;5,71;0,00;5,61;0,00;5,68;5,17
454;M;2;727;727;833;797;487;0;652;815,00;742,60;0,48;5,71;0,00;5,18;0,00;3,60;5,07
455;M;2;893;951;582;688;437;0;512;635,00;746,65;0,33;5,72;0,00;5,08;0,00;6,50;5,78
456;F;2;671;693;742;731;422;0;506;736,50;676,75;0,21;5,74;0,00;3,07;0,00;4,30;4,00
457;M;2;870;892;678;834;434;0;433;756,00;779,30;0,79;5,75;0,00;5,48;0,00;4,80;4,20
458;M;2;837;863;636;897;676;0;589;766,50;812,85;0,83;5,77;0,00;6,41;0,00;5,10;5,30
459;M;2;837;945;815;680;393;0;436;747,50;749,95;0,38;5,77;0,00;4,44;0,00;5,35;5,65
460;M;2;685;685;878;897;498;669;636;887,50;767,55;0,33;5,77;0,00;5,22;0,00;5,71;4,50
461;F;2;793;833;582;746;496;0;544;664,00;727,70;0,43;5,77;0,00;6,11;0,00;5,88;5,95
462;M;2;608;608;790;917;556;654;586;853,50;736,35;0,38;5,78;0,00;2,03;0,00;4,97;5,92
463;M;2;856;870;636;746;498;0;520;691,00;748,20;0,38;5,78;0,00;5,31;0,00;5,50;4,70
464;M;2;837;921;759;705;363;709;517;732,00;771,70;0,38;5,80;0,00;5,83;0,00;5,35;4,97
465;M;2;685;687;711;879;537;595;589;795,00;739,70;0,31;5,80;0,00;6,08;0,00;5,39;5,23
466;M;2;895;986;813;757;493;0;588;785,00;815,00;0,43;5,80;0,00;5,03;0,00;5,10;4,90
467;F;2;914;1000;669;797;408;0;502;733,00;807,85;0,33;5,81;0,00;5,03;0,00;5,20;4,97
468;M;3;879;888;651;669;393;0;537;660,00;726,90;0,26;5,81;0,00;4,85;0,00;5,45;5,26
469;M;2;727;745;620;862;551;0;496;741,00;737,05;0,60;5,82;0,00;4,98;0,00;5,96;4,40
470;F;2;765;831;701;585;363;438;493;643,00;668,10;0,17;5,82;0,00;3,28;0,00;5,10;5,10
471;M;2;951;981;563;657;379;0;510;610,00;745,60;0,60;5,82;0,00;6,28;0,00;5,83;6,65
472;M;2;742;856;519;535;419;0;350;527,00;626,10;0,07;5,83;0,00;5,38;0,00;6,05;5,56
473;M;2;799;841;537;657;381;0;419;597,00;676,80;0,43;5,83;0,00;5,91;0,00;5,43;5,03
474;M;3;828;846;774;773;464;613;0;773,50;769,05;0,60;5,87;0,00;6,69;0,00;5,66;5,89
475;M;1;671;671;584;657;444;402;0;620,50;619,15;0,43;5,88;0,00;6,97;0,00;5,19;5,98
476;F;2;771;784;774;785;434;489;0;779,50;735,05;0,48;5,88;0,00;6,30;0,00;6,03;5,45
477;M;2;708;708;625;879;487;0;577;752,00;735,40;0,45;5,89;0,00;5,69;0,00;5,77;6,17
478;M;2;742;756;819;897;507;540;601;858,00;782,30;0,64;5,89;0,00;6,31;0,00;5,50;5,58
479;M;1;886;1000;819;989;657;693;0;904,00;918,80;0,69;5,89;0,00;6,58;0,00;5,71;5,66
480;M;2;727;746;696;861;422;484;667;778,50;755,25;0,62;5,90;0,00;5,72;0,00;5,73;6,05
481;F;2;893;981;788;879;582;0;569;833,50;856,05;0,64;5,90;0,00;5,71;0,00;5,85;5,00
482;F;2;785;805;683;746;520;0;624;714,50;737,80;0,57;5,90;0,00;4,52;0,00;5,36;4,48
483;F;2;751;770;729;642;385;0;519;685,50;674,85;0,19;5,91;0,00;4,95;0,00;4,97;5,60
